period_begin	period_end	period_duration	region_type	region_type_id	table_id	is_seasonally_adjusted	region	city	state	state_code	property_type	property_type_id	median_sale_price	median_sale_price_mom	median_sale_price_yoy	median_list_price	median_list_price_mom	median_list_price_yoy	median_ppsf	median_ppsf_mom	median_ppsf_yoy	median_list_ppsf	median_list_ppsf_mom	median_list_ppsf_yoy	homes_sold	homes_sold_mom	homes_sold_yoy	pending_sales	pending_sales_mom	pending_sales_yoy	new_listings	new_listings_mom	new_listings_yoy	inventory	inventory_mom	inventory_yoy	months_of_supply	months_of_supply_mom	months_of_supply_yoy	median_dom	median_dom_mom	median_dom_yoy	avg_sale_to_list	avg_sale_to_list_mom	avg_sale_to_list_yoy	sold_above_list	sold_above_list_mom	sold_above_list_yoy	price_drops	price_drops_mom	price_drops_yoy	off_market_in_two_weeks	off_market_in_two_weeks_mom	off_market_in_two_weeks_yoy	parent_metro_region	parent_metro_region_metro_code	last_updated
2020-05-01	2020-05-31	30	national	11	1400	f	 National	National	U.S.	US	Single Family Residential	6	308797	-0.011473856234593738	0.00096321336404470159	344488	0.047492564959249473	0.039967899414764529	155	-0.0081078914971859373	0.0073402890967266821	168	0.033748899629523432	0.04494722807752316	338308	-0.018110373344588981	-0.32018711889663476	545304	0.4460086275824473	-0.064224223549139703	498013	0.3264549848528937	-0.24293602347645682	995395	-0.013231039181052839	-0.23635861801444757	2.9422664637720848	0.014548796977759793	0.32298640785107979	38	2	1	0.98606783789807095	-0.002275940209194971	-0.0004636406233159418	0.26478260910407542	-0.024329704466787005	0.00039811418021673539	0.12374867993167524	0.015937229011918574	-0.03378811473960619	0.41117305063089432	0.032803036214246517	-0.0090628940556385373			2024-09-18 14:08:39
2022-05-01	2022-05-31	30	national	11	1400	f	 National	National	U.S.	US	Single Units Only	-2	432596	0.014710987528980146	0.14813074026022055	437884	0.0029996603976985003	0.14378535145286997	238	0.0016350641047515602	0.165938261055673	234	-0.0029992902566429169	0.13850021806522239	579978	0.070221891017826943	-0.05646784845740116	658272	0.052240673938414695	-0.09116821549562204	752138	0.070947589304025449	0.039562235906023702	897902	0.15289724413068395	0.16671172830090741	1.548166703006308	0.11102050030931077	0.29614786681834104	17	-1	0	1.0316206051178576	-0.00043357385207731802	0.0089720469054201946	0.59279774093710302	0.0040597881251308587	0.052461504819974469	0.1081647238217395	0.031950624313222473	0.036494902126575246	0.65394461925279901	-0.014733992098015403	-0.0089338579948898822			2024-09-18 14:08:39
2018-08-01	2018-08-31	30	national	11	1400	f	 National	National	U.S.	US	Single Family Residential	6	294583	-0.011013140583118752	0.050656682063572323	296105	-0.017046786983744067	0.052838406779442515	149	-0.00078766394458629208	0.050748891623736858	151	-0.00092280160433655389	0.058528846868950657	488904	0.02767866348076975	0.0096619447400378977	506845	-0.034255991494986704	-0.023144341760654275	548248	-0.015042075904345253	0.036935136238493094	1334354	0.012089406492637789	-0.0098647921835574026	2.7292732932250177	-0.042039114811383893	-0.053824771777310154	37	4	-2	0.9846060070710495	-0.0030798440124505388	7.957954182458149e-05	0.25662467820863061	-0.025712546716450901	-0.0028744041632823847	0.17679750390156057	0.0090423306747485777	0.024726873377522163	0.33365927322517192	-0.029335396915619982	0.0073885374526121983			2024-09-18 14:08:39
2020-04-01	2020-04-30	30	national	11	1400	f	 National	National	U.S.	US	Single Family Residential	6	312382	0.003889184190252859	0.04640281714926231	328869	-0.021874539277718874	-0.010151416933858348	157	0.00083860494304022204	0.031066429663196615	162	-0.0082310447298266087	0.015619594401832693	344548	-0.11880382262357836	-0.18176431712669927	377109	-0.21634991673586457	-0.33878322083037671	375446	-0.27380450055114225	-0.38446624441470967	1008741	-0.01623602663890189	-0.1744867647642846	2.927717666794325	0.30524552278788297	0.025810147812322271	36	-9	-7	0.98834377810726592	0.0023779962990279069	0.004287920438372117	0.28911231357086242	0.030514780474239001	0.043858007990345782	0.10781145091975666	-0.0060487579714974815	-0.033891765902173132	0.3783700144166478	-0.080010845651584228	-0.04557663043937088			2024-09-18 14:08:39
2019-02-01	2019-02-28	30	national	11	1400	f	 National	National	U.S.	US	Single Units Only	-2	277150	0.015597558543455126	0.030478384729375474	310435	0.039620936472457347	0.034183618181192088	151	0.0042636388239021272	0.032977054519206073	163	0.012059047721412197	0.028910417950687828	362579	0.11909407221834445	-0.0014531919893929768	521678	0.072670323094935707	0.0057342190534404036	533701	0.02627366817173149	-0.034192720374306651	1401862	0.014110034623219248	0.093850047703911477	3.8663570205445499	-0.40025811494098296	0.33686184924735585	59	1	6	0.97797007328826979	0.0027389980416728799	-0.0035316767694925089	0.19401975766837651	0.014831484402631712	-0.034154716447780842	0.12239041234035103	-0.016577858747237578	0.018959137720289815	0.33482010615331342	0.054054946536079007	-0.04267829470656731			2024-09-18 14:08:39
2017-09-01	2017-09-30	30	national	11	1400	f	 National	National	U.S.	US	Single Family Residential	6	277442	-0.010479743727973778	0.068864140338989355	291163	0.035269456865581139	0.052227275174789867	142	-0.0043581791504464507	0.071401111396506733	147	0.029942471945403559	0.059960049248502179	410829	-0.15157604641238864	-0.032740117489055254	438814	-0.15426176554350701	-0.039173583707233228	451767	-0.14554467388615977	-0.04221605951757601	1322554	-0.018620643574539408	-0.082782599500637155	3.2192337054506415	0.43613564044831366	-0.17563823441245763	44	4	-4	0.98271126762581684	-0.0018151599034080812	0.0025352992041099975	0.24559537420379485	-0.013903708168118145	0.017553673198509701	0.14316464636103604	-0.0089059841630023673	0.002752223962243977	0.29855442043372998	-0.027716315338829733	0.02379067229661469			2024-09-18 14:08:39
2024-08-01	2024-08-31	30	national	11	1400	f	 National	National	U.S.	US	Single Units Only	-2	431814	-0.014495990498878175	0.027953983081566491	435171	-0.0064432325071287488	0.047350630174973096	239	-0.0086518451796117057	0.029536847089502993	244	0.00024758657610179924	0.051843690193404068	454616	-0.033880089538024794	-0.046281972216210776	474756	-0.069479358911826883	-0.046928100679046625	537190	-0.034252301300129351	-0.0209209787179091	1186593	-0.029436059461032338	0.16474275649329773	2.610100461915223	0.011951160013509377	0.4728904634174409	37	3	6	0.99265274132694525	-0.0035675522307978547	-0.0062443938060448012	0.30102552282762801	-0.030735777720590329	-0.061032717685897797	0.20748021565629154	0.0039037259537180458	0.032988169282006152	0.37903366917130066	-0.02053032764103313	-0.074012918869167388			2024-09-18 14:08:39
2020-09-01	2020-09-30	30	national	11	1400	f	 National	National	U.S.	US	Single Family Residential	6	347335	0.0099011154821218028	0.14910056212991551	353821	0.01884794054225325	0.12911866954784945	171	0.020637647550510785	0.112406693795706	177	0.017007058756484117	0.11596314514974471	515862	-0.011552270950652921	0.24853519885372943	579929	-0.06566518938616317	0.24895097690347945	527284	-0.024127413273301368	0.10149551635877696	817270	-0.033580526360999063	-0.3692463031779244	1.5842819096025778	-0.036111613537035181	-1.5516992808556493	29	-2	-13	0.99586356833159972	0.0020192636592401003	0.013105784533877674	0.35918749468093153	0.018614293390956826	0.12732850021578335	0.11383550218235869	-0.016227674712493867	-0.099458304789041746	0.48989985659520391	0.0025780939779294076	0.1655335264807607			2024-09-18 14:08:39
2021-01-01	2021-01-31	30	national	11	1400	f	 National	National	U.S.	US	Multi-Family (2-4 Unit)	4	361276	0.0019571427836335697	0.16056338441881679	394626	0.038432476074328425	0.10121099628262864	159	0.0090684672343064321	0.17189205667594432	172	0.025196421447792883	0.098847844370242299	10531	-0.25937261471295603	0.11477690376000815	14378	0.054515940506489668	0.17163023071307792	12881	0.22049616180425979	0.070277655186544941	27924	-0.053939825980230727	-0.045633059523359276	2.6514241020053566	0.57574503434993973	-0.44565127396271631	33	-2	-13	0.97748792087366021	-0.00096645695021158051	0.017545534743555802	0.29877569142862792	-0.018507814084364027	0.07403523153293598	0.081072132278198622	0.0076934970848115125	-0.018493759785372058	0.37726919968175499	0.030277669710441935	0.051947283666552158			2024-09-18 14:08:39
2013-11-01	2013-11-30	30	national	11	1400	f	 National	National	U.S.	US	Multi-Family (2-4 Unit)	4	197438	-0.015636125799163958	0.081497661629409635	197058	-0.05680275913536792	0.10199555494425883	95	0.022044303009616906	0.11927626803734004	94	-0.037840568610042258	0.094506585775182339	8621	-0.13286526235926965	-0.041817563596313723	10598	-0.12226013973842009	0.033343297750037415	10762	-0.24676413835347399	0.049050473059351507	54422	-0.042926255043565176	0.017938447990535566	6.3127408722238458	0.59322664578467954	0.37057664680025226	66	1	-6	0.95369004846517247	-0.0028881106398268575	0.0027411796376580755	0.22437572788529223	-0.0081712797937732451	-0.0062843931875303516	0.057347842606613665	-0.0062937323696263051	0.0077094283313042106	0.16625390446348126	-0.01348313442719673	0.0035058861397733176			2024-09-18 14:08:39
